,tconst,primaryTitle,startYear,ordering,nconst,characters,primaryName,birthYear
82236,tt0090311,What Comes Around,1985,3.0,nm0179224,"[""Leon Redden""]",Barry Corbin,1940
82237,tt0095384,It Takes Two,1988,4.0,nm0179224,"[""George Lawrence""]",Barry Corbin,1940
82238,tt0165831,Held Up,1999,3.0,nm0179224,"[""Pembry""]",Barry Corbin,1940
82239,tt0310334,Waitin' to Live,2006,2.0,nm0179224,"[""Buford Pike""]",Barry Corbin,1940
82240,tt1354687,Feed the Fish,2010,2.0,nm0179224,"[""Axel Andersen""]",Barry Corbin,1940
82241,tt1977953,The Man Who Shook the Hand of Vicente Fernandez,2012,2.0,nm0179224,"[""Walker""]",Barry Corbin,1940
82242,tt5943466,Farmer of the Year,2018,1.0,nm0179224,"[""Hap""]",Barry Corbin,1940
82250,tt0084708,Soup for One,1982,1.0,nm0007210,"[""Allan""]",Saul Rubinek,1948
82251,tt0109891,Getting Even with Dad,1994,4.0,nm0007210,"[""Bobby""]",Saul Rubinek,1948
82252,tt0110093,I Love Trouble,1994,3.0,nm0007210,"[""Sam Smotherman""]",Saul Rubinek,1948
82253,tt0118671,Bad Manners,1997,3.0,nm0007210,"[""Matt Carroll""]",Saul Rubinek,1948
82255,tt1223082,Oy Vey! My Son Is Gay!!,2009,2.0,nm0007210,"[""Martin Hirsch""]",Saul Rubinek,1948
82266,tt0084737,Summer Lovers,1982,1.0,nm0001251,"[""Michael Pappas""]",Peter Gallagher,1955
82267,tt0108521,Watch It,1993,1.0,nm0001251,"[""John""]",Peter Gallagher,1955
82268,tt0120483,The Man Who Knew Too Little,1997,3.0,nm0001251,"[""James Ritchie""]",Peter Gallagher,1955
82270,tt1185836,Adam,2009,3.0,nm0001251,"[""Marty Buchwald""]",Peter Gallagher,1955
82272,tt0084737,Summer Lovers,1982,2.0,nm0000435,"[""Cathy Featherstone""]",Daryl Hannah,1960
82273,tt0087932,The Pope of Greenwich Village,1984,3.0,nm0000435,"[""Diane""]",Daryl Hannah,1960
82274,tt0087983,Reckless,1984,2.0,nm0000435,"[""Tracey Prescott""]",Daryl Hannah,1960
82275,tt0088161,Splash,1984,2.0,nm0000435,"[""Madison""]",Daryl Hannah,1960
82276,tt0091396,Legal Eagles,1986,3.0,nm0000435,"[""Chelsea Deardon""]",Daryl Hannah,1960
82277,tt0093886,Roxanne,1987,2.0,nm0000435,"[""Roxanne""]",Daryl Hannah,1960
82278,tt0119987,The Real Blonde,1997,3.0,nm0000435,"[""Kelly""]",Daryl Hannah,1960
82279,tt0120764,My Favorite Martian,1999,4.0,nm0000435,"[""Lizzie""]",Daryl Hannah,1960
82280,tt0132213,Hi-Life,1998,2.0,nm0000435,"[""Maggie""]",Daryl Hannah,1960
82281,tt0261755,Jackpot,2001,2.0,nm0000435,"[""Bobbi""]",Daryl Hannah,1960
82282,tt0321442,The Big Empty,2003,4.0,nm0000435,"[""Stella""]",Daryl Hannah,1960
82284,tt2201251,The Hot Flashes,2013,3.0,nm0000435,"[""Ginger Peabody""]",Daryl Hannah,1960
82297,tt0084761,Talk to Me,1984,3.0,nm0248803,"[""Tippy O'Shea""]",Barbara Eda-Young,1945
82301,tt0084761,Talk to Me,1984,9.0,nm0001221,"[""Richard's mother""]",Louise Fletcher,1934
82302,tt0212815,Big Eden,2000,4.0,nm0001221,"[""Grace Cornwell""]",Louise Fletcher,1934
82303,tt0248169,Manna from Heaven,2002,3.0,nm0001221,"[""Mother Superior""]",Louise Fletcher,1934
82324,tt0084788,Things Are Tough All Over,1982,1.0,nm0040997,"[""Cocktail Waitress""]",Toni Attell,1948
82328,tt0084788,Things Are Tough All Over,1982,4.0,nm0100634,"[""Maitre D'""]",Don Bovingloh,1944
82330,tt0084809,The Toy,1982,4.0,nm0777432,"[""Eric Bates""]",Scott Schwartz,1968
82331,tt0085334,A Christmas Story,1983,4.0,nm0777432,"[""Flick""]",Scott Schwartz,1968
82332,tt0087550,Kidco,1984,2.0,nm0777432,"[""Dickie Cessna""]",Scott Schwartz,1968
82336,tt0084848,The Vals,1983,3.0,nm0491487,"[""Beth""]",Michele Laurita,1962
82350,tt0084917,The World According to Garp,1982,2.0,nm0002148,"[""Helen Holm""]",Mary Beth Hurt,1948
82351,tt0084917,The World According to Garp,1982,3.0,nm0000335,"[""Jenny Fields""]",Glenn Close,1947
82352,tt0085244,The Big Chill,1983,2.0,nm0000335,"[""Sarah""]",Glenn Close,1947
82353,tt0089569,Maxie,1985,1.0,nm0000335,"[""Jan"",""Maxie""]",Glenn Close,1947
82354,tt0110771,The Paper,1994,2.0,nm0000335,"[""Alicia Clark""]",Glenn Close,1947
82355,tt0126250,Cookie's Fortune,1999,1.0,nm0000335,"[""Camille Dixon""]",Glenn Close,1947
82356,tt0211181,102 Dalmatians,2000,1.0,nm0000335,"[""Cruella de Vil""]",Glenn Close,1947
82357,tt0327162,The Stepford Wives,2004,4.0,nm0000335,"[""Claire Wellington""]",Glenn Close,1947
82358,tt0406650,The Chumscrubber,2005,4.0,nm0000335,"[""Mrs. Johnson""]",Glenn Close,1947
82359,tt0443536,Hoodwinked!,2005,2.0,nm0000335,"[""Granny""]",Glenn Close,1947
82360,tt0844993,Hoodwinked Too! Hood vs. Evil,2011,2.0,nm0000335,"[""Granny""]",Glenn Close,1947
82361,tt1226766,The Great Gilly Hopkins,2015,3.0,nm0000335,"[""Nonnie""]",Glenn Close,1947
82362,tt1966359,Father Figures,2017,3.0,nm0000335,"[""Helen""]",Glenn Close,1947
82363,tt5066056,The Wilde Wedding,2017,1.0,nm0000335,"[""Eve Wilde""]",Glenn Close,1947
82385,tt0084938,Young Doctors in Love,1982,1.0,nm0571106,"[""Dr. Simon August""]",Michael McKean,1947
82386,tt0088258,This Is Spinal Tap,1984,2.0,nm0571106,"[""David St. Hubbins""]",Michael McKean,1947
82387,tt0093748,"Planes, Trains & Automobiles",1987,4.0,nm0571106,"[""State Trooper""]",Michael McKean,1947
82388,tt0096101,Short Circuit 2,1988,2.0,nm0571106,"[""Fred Ritter""]",Michael McKean,1947
82390,tt0187512,"Slap Her, She's French!",2002,3.0,nm0571106,"[""Monsieur Duke""]",Michael McKean,1947
82391,tt0280720,The Guru,2002,4.0,nm0571106,"[""Dwain""]",Michael McKean,1947
82392,tt0299422,100 Mile Rule,2002,4.0,nm0571106,"[""Howard""]",Michael McKean,1947
82393,tt0310281,A Mighty Wind,2003,3.0,nm0571106,"[""Jerry Palter""]",Michael McKean,1947
82394,tt0960721,Adventures of Power,2008,2.0,nm0571106,"[""Harlan""]",Michael McKean,1947
82395,tt0084938,Young Doctors in Love,1982,2.0,nm0000707,"[""Dr. Stephanie Brody""]",Sean Young,1959
82396,tt0106873,Fatal Instinct,1993,4.0,nm0000707,"[""Lola Cain""]",Sean Young,1959
82397,tt0109040,Ace Ventura: Pet Detective,1994,3.0,nm0000707,"[""Lt. Lois Einhorn""]",Sean Young,1959
82398,tt0204350,Poor White Trash,2000,1.0,nm0000707,"[""Linda Bronco""]",Sean Young,1959
82399,tt0417909,Living the Dream,2006,1.0,nm0000707,"[""Brenda""]",Sean Young,1959
82400,tt1586525,Random Encounters,2013,2.0,nm0000707,"[""Terri preston""]",Sean Young,1959
82401,tt2098627,Attack of the 50 Foot Cheerleader,2012,2.0,nm0000707,"[""Brenda Stratford""]",Sean Young,1959
82402,tt3608352,Nick and Nicky,2019,3.0,nm0000707,"[""Gloria""]",Sean Young,1959
82403,tt3685480,The Networker,2015,3.0,nm0000707,"[""Margie Mangano""]",Sean Young,1959
82404,tt3737420,In Vino,2017,1.0,nm0000707,"[""Linda""]",Sean Young,1959
82405,tt4382376,Lost Cat Corona,2017,1.0,nm0000707,"[""Roxie""]",Sean Young,1959
82406,tt6273924,Future '38,2017,4.0,nm0000707,"[""Mabel""]",Sean Young,1959
82408,tt0084938,Young Doctors in Love,1982,4.0,nm0373600,"[""Dr. Charles Litto""]",Kyle T. Heffner,1957
82409,tt0375061,Shrink Rap,2003,3.0,nm0373600,"[""Dennis""]",Kyle T. Heffner,1957
82419,tt0084945,Zapped!,1982,2.0,nm0000714,"[""Peyton Nichols""]",Willie Aames,1960
82421,tt0084945,Zapped!,1982,4.0,nm0769516,"[""Bernadette""]",Felice Schachter,1963
82429,tt0085167,Angel of H.E.A.T.,1983,4.0,nm0463100,"[""Harry Covert""]",Milt Kogan,1936
82437,tt0085208,Baby It's You,1983,1.0,nm0000275,"[""Jill""]",Rosanna Arquette,1959
82438,tt0086037,Off the Wall,1983,3.0,nm0000275,"[""Pam Smith""]",Rosanna Arquette,1959
82439,tt0088680,After Hours,1985,2.0,nm0000275,"[""Marcy""]",Rosanna Arquette,1959
82440,tt0089017,Desperately Seeking Susan,1985,1.0,nm0000275,"[""Roberta Glass""]",Rosanna Arquette,1959
82441,tt0091642,Nobody's Fool,1986,1.0,nm0000275,"[""Cassie""]",Rosanna Arquette,1959
82442,tt0092546,Amazon Women on the Moon,1987,1.0,nm0000275,"[""Karen (segment \""Two I.D.'s\"")""]",Rosanna Arquette,1959
82443,tt0119214,Gone Fishin',1997,3.0,nm0000275,"[""Rita""]",Rosanna Arquette,1959
82444,tt0138705,Pigeonholed,1999,2.0,nm0000275,"[""Devon's Mother""]",Rosanna Arquette,1959
82445,tt0190138,The Whole Nine Yards,2000,3.0,nm0000275,"[""Sophie""]",Rosanna Arquette,1959
82446,tt0260746,Big Bad Love,2001,4.0,nm0000275,"[""Velma""]",Rosanna Arquette,1959
82447,tt0489085,I-See-You.com,2006,2.0,nm0000275,"[""Lydia Ann Layton""]",Rosanna Arquette,1959
82448,tt3330948,For the Love of George,2018,3.0,nm0000275,"[""Dr. Faye Carter""]",Rosanna Arquette,1959
82449,tt4567320,Born Guilty,2017,3.0,nm0000275,"[""Judith""]",Rosanna Arquette,1959
82450,tt0085208,Baby It's You,1983,2.0,nm0001759,"[""Sheik""]",Vincent Spano,1962
82451,tt0088960,Creator,1985,3.0,nm0001759,"[""Boris Lafkin""]",Vincent Spano,1962
82452,tt0092559,And God Created Woman,1988,2.0,nm0001759,"[""Billy Moran""]",Vincent Spano,1962
82453,tt0085208,Baby It's You,1983,3.0,nm0581008,"[""Mrs. Rosen""]",Joanna Merlin,1931
82454,tt5460416,Active Adults,2017,4.0,nm0581008,"[""Miriam""]",Joanna Merlin,1931
82455,tt0085208,Baby It's You,1983,4.0,nm0203352,"[""Dr. Rosen""]",Jack Davidson,1936
