,tconst,primaryTitle,startYear,ordering,nconst,characters,primaryName,birthYear
42046,tt0048944,The Ambassador's Daughter,1956,1.0,nm0000014,"[""Joan Fisk""]",Olivia de Havilland,1916
44008,tt0044327,Actors and Sin,1952,3.0,nm0402554,"[""Marcia Tillayou (segment \""Actor's Blood\"")""]",Marsha Hunt,1917
44009,tt0044687,The Happy Time,1952,3.0,nm0402554,"[""Susan Bonnard""]",Marsha Hunt,1917
51174,tt0043427,Corky of Gasoline Alley,1951,2.0,nm0527996,"[""Skeezix Wallet""]",Jimmy Lydon,1923
51175,tt0125761,Gasoline Alley,1951,2.0,nm0527996,"[""Skeezix""]",Jimmy Lydon,1923
52401,tt0042542,The Happy Years,1950,2.0,nm0382718,"[""'Tough' McCarty""]",Darryl Hickman,1931
53571,tt0049463,Magnificent Roughnecks,1956,3.0,nm0309607,"[""Jane Rivers""]",Nancy Gates,1926
54115,tt0035423,Kate & Leopold,2001,1.0,nm0000212,"[""Kate McKay""]",Meg Ryan,1961
54116,tt0090660,Armed and Dangerous,1986,2.0,nm0000212,"[""Maggie Cavanaugh""]",Meg Ryan,1961
54117,tt0093260,Innerspace,1987,3.0,nm0000212,"[""Lydia Maxwell""]",Meg Ryan,1961
54118,tt0108160,Sleepless in Seattle,1993,2.0,nm0000212,"[""Annie Reed""]",Meg Ryan,1961
54119,tt0110099,I.Q.,1994,2.0,nm0000212,"[""Catherine Boyd""]",Meg Ryan,1961
54120,tt0118556,Addicted to Love,1997,1.0,nm0000212,"[""Maggie""]",Meg Ryan,1961
54121,tt0128853,You've Got Mail,1998,2.0,nm0000212,"[""Kathleen Kelly""]",Meg Ryan,1961
54122,tt0419843,In the Land of Women,2007,3.0,nm0000212,"[""Sarah Hardwicke""]",Meg Ryan,1961
54123,tt0430770,The Women,2008,1.0,nm0000212,"[""Mary Haines""]",Meg Ryan,1961
54124,tt0780534,My Mom's New Boyfriend,2008,2.0,nm0000212,"[""Martha Durand""]",Meg Ryan,1961
54125,tt1133993,Serious Moonlight,2009,1.0,nm0000212,"[""Louise""]",Meg Ryan,1961
54126,tt0035423,Kate & Leopold,2001,2.0,nm0413168,"[""Leopold""]",Hugh Jackman,1968
54127,tt0244970,Someone Like You...,2001,3.0,nm0413168,"[""Eddie Alden""]",Hugh Jackman,1968
54128,tt0366548,Happy Feet,2006,3.0,nm0413168,"[""Memphis""]",Hugh Jackman,1968
54129,tt0424095,Flushed Away,2006,1.0,nm0413168,"[""Roddy""]",Hugh Jackman,1968
54130,tt0457513,Scoop,2006,2.0,nm0413168,"[""Peter Lyman""]",Hugh Jackman,1968
54131,tt1083452,Eddie the Eagle,2015,2.0,nm0413168,"[""Bronson Peary""]",Hugh Jackman,1968
54132,tt3332064,Pan,2015,2.0,nm0413168,"[""Blackbeard""]",Hugh Jackman,1968
54133,tt0035423,Kate & Leopold,2001,3.0,nm0000630,"[""Stuart Besser""]",Liev Schreiber,1967
54134,tt0119296,His and Hers,1997,1.0,nm0000630,"[""Glenn""]",Liev Schreiber,1967
54135,tt0324619,Spinning Boris,2003,3.0,nm0000630,"[""Joe Shumate""]",Liev Schreiber,1967
54137,tt1301990,Every Day,2010,1.0,nm0000630,"[""Ned""]",Liev Schreiber,1967
54138,tt1333125,Movie 43,2013,4.0,nm0000630,"[""Robert (segment \""Homeschooled\"")""]",Liev Schreiber,1967
54139,tt1655416,Mental,2012,3.0,nm0000630,"[""Trevor""]",Liev Schreiber,1967
54140,tt4131800,My Little Pony: The Movie,2017,3.0,nm0000630,"[""The Storm King""]",Liev Schreiber,1967
54141,tt0035423,Kate & Leopold,2001,4.0,nm0005227,"[""Charlie McKay""]",Breckin Meyer,1974
54142,tt0118925,"Dancer, Texas Pop. 81",1998,1.0,nm0005227,"[""Keller Coleman""]",Breckin Meyer,1974
54143,tt0215129,Road Trip,2000,1.0,nm0005227,"[""Josh""]",Breckin Meyer,1974
54144,tt0250687,Rat Race,2001,1.0,nm0005227,"[""Nick Schaffer""]",Breckin Meyer,1974
54145,tt0356634,Garfield,2004,1.0,nm0005227,"[""Jon""]",Breckin Meyer,1974
54146,tt0376108,Rebound,2005,3.0,nm0005227,"[""Tim Fink""]",Breckin Meyer,1974
54147,tt0400497,Herbie Fully Loaded,2005,4.0,nm0005227,"[""Ray Peyton Jr.""]",Breckin Meyer,1974
54148,tt0455499,Garfield: A Tail of Two Kitties,2006,1.0,nm0005227,"[""Jon Arbuckle""]",Breckin Meyer,1974
54149,tt0494279,Corporate Affairs,2008,1.0,nm0005227,"[""Ted Meyers""]",Breckin Meyer,1974
55109,tt0043700,Katie Did It,1950,1.0,nm0001955,"[""Katherine Standish""]",Ann Blyth,1928
55110,tt0045115,Sally and Saint Anne,1952,1.0,nm0001955,"[""Sally O'Moyne""]",Ann Blyth,1928
55111,tt0047429,Rose Marie,1954,1.0,nm0001955,"[""Rose Marie Lemaitre""]",Ann Blyth,1928
55112,tt0048260,Kismet,1955,2.0,nm0001955,"[""Marsinah""]",Ann Blyth,1928
55113,tt0050218,The Buster Keaton Story,1957,2.0,nm0001955,"[""Gloria Brent""]",Ann Blyth,1928
55274,tt0053902,Heller in Pink Tights,1960,3.0,nm0639684,"[""Della Southby""]",Margaret O'Brien,1937
55275,tt1320085,Dead in Love,2009,3.0,nm0639684,"[""Cris""]",Margaret O'Brien,1937
55331,tt1666822,"Dadgum, Texas",2011,3.0,nm0829726,"[""Pearl Ruth Anna 'MiMa' Magee""]",Peggy Stewart,1923
56365,tt0042243,Beware of Blondie,1950,4.0,nm0616080,"[""Cookie Bumstead""]",Marjorie Ann Mutchie,1939
56366,tt0042263,Blondie's Hero,1950,4.0,nm0616080,"[""Cookie""]",Marjorie Ann Mutchie,1939
56960,tt0046235,Remains to Be Seen,1953,4.0,nm0001450,"[""Valeska Chauvel""]",Angela Lansbury,1925
56961,tt0049096,The Court Jester,1955,4.0,nm0001450,"[""Princess Gwendolyn""]",Angela Lansbury,1925
56962,tt0054692,Blue Hawaii,1961,3.0,nm0001450,"[""Sarah Lee Gates""]",Angela Lansbury,1925
56963,tt0057999,Dear Heart,1964,3.0,nm0001450,"[""Phyllis""]",Angela Lansbury,1925
56964,tt0066392,Something for Everyone,1970,1.0,nm0001450,"[""Countess Herthe von Ornstein""]",Angela Lansbury,1925
56965,tt0066817,Bedknobs and Broomsticks,1971,1.0,nm0001450,"[""Miss Price""]",Angela Lansbury,1925
56966,tt0086112,The Pirates of Penzance,1983,2.0,nm0001450,"[""Ruth""]",Angela Lansbury,1925
56967,tt0396752,Nanny McPhee,2005,3.0,nm0001450,"[""Aunt Adelaide""]",Angela Lansbury,1925
56968,tt1396218,Mr. Popper's Penguins,2011,3.0,nm0001450,"[""Mrs. Van Gundy""]",Angela Lansbury,1925
56994,tt0042542,The Happy Years,1950,1.0,nm0001777,"[""John Humperdink 'Dink' Stover""]",Dean Stockwell,1936
56995,tt0070908,The Werewolf of Washington,1973,1.0,nm0001777,"[""Jack Whittier""]",Dean Stockwell,1936
56996,tt0071149,"Win, Place or Steal",1974,1.0,nm0001777,"[""Billy""]",Dean Stockwell,1936
56997,tt0084099,Human Highway,1982,3.0,nm0001777,"[""Otto Quartz""]",Dean Stockwell,1936
56998,tt0096875,Catchfire,1990,3.0,nm0001777,"[""John Luponi""]",Dean Stockwell,1936
56999,tt0119555,Living in Peril,1997,3.0,nm0001777,"[""William""]",Dean Stockwell,1936
57000,tt0119640,McHale's Navy,1997,2.0,nm0001777,"[""Capt. Wallace B. Binghampton""]",Dean Stockwell,1936
57001,tt0251700,The Flunky,2000,4.0,nm0001777,"[""Micky""]",Dean Stockwell,1936
57002,tt1650393,C.O.G.,2013,4.0,nm0001777,"[""Hobbs""]",Dean Stockwell,1936
57265,tt0074441,The Duchess and the Dirtwater Fox,1976,3.0,nm0417641,"[""Gladstone (Widdicombe's assistant)""]",Conrad Janis,1928
57317,tt0043823,Mister Universe,1951,2.0,nm0656712,"[""Lorraine""]",Janis Paige,1922
57318,tt0044156,Two Gals and a Guy,1951,2.0,nm0656712,"[""Della Oliver"",""Sylvia Latour""]",Janis Paige,1922
57319,tt0050972,Silk Stockings,1957,3.0,nm0656712,"[""Peggy Dayton""]",Janis Paige,1922
57320,tt0054188,Please Don't Eat the Daisies,1960,3.0,nm0656712,"[""Deborah Vaughn""]",Janis Paige,1922
57321,tt0054652,Bachelor in Paradise,1961,3.0,nm0656712,"[""Dolores Jynson""]",Janis Paige,1922
57352,tt0043654,Hong Kong,1952,2.0,nm0281766,"[""Victoria Evans""]",Rhonda Fleming,1923
57353,tt0043748,Little Egypt,1951,2.0,nm0281766,"[""Izora""]",Rhonda Fleming,1923
57354,tt0050218,The Buster Keaton Story,1957,3.0,nm0281766,"[""Peggy Courtney""]",Rhonda Fleming,1923
57355,tt0052545,Alias Jesse James,1959,2.0,nm0281766,"[""Cora Lee Collins""]",Rhonda Fleming,1923
57356,tt0081249,The Nude Bomb,1980,4.0,nm0281766,"[""Edith Von Secondberg""]",Rhonda Fleming,1923
57357,tt0353923,Pão de Açúcar,1964,2.0,nm0281766,"[""Pamela Jones DeSantis""]",Rhonda Fleming,1923
57617,tt3564924,The Remake,2016,1.0,nm0001478,"[""Irene O'Connor""]",June Lockhart,1925
58004,tt0043129,When Willie Comes Marching Home,1950,3.0,nm0870109,"[""Marjorie 'Marge' Fettles""]",Colleen Townsend,1928
58022,tt0042779,Nancy Goes to Rio,1950,2.0,nm0007225,"[""Nancy Barklay""]",Jane Powell,1929
58023,tt0043081,Two Weeks with Love,1950,1.0,nm0007225,"[""Patti Robinson""]",Jane Powell,1929
58024,tt0043968,"Rich, Young and Pretty",1951,1.0,nm0007225,"[""Elizabeth Rogers""]",Jane Powell,1929
58025,tt0043983,Royal Wedding,1951,2.0,nm0007225,"[""Ellen Bowen""]",Jane Powell,1929
58026,tt0046424,Three Sailors and a Girl,1953,1.0,nm0007225,"[""Penny Weston""]",Jane Powell,1929
58027,tt0046728,Athena,1954,1.0,nm0007225,"[""Athena Mulvain""]",Jane Powell,1929
58028,tt0047472,Seven Brides for Seven Brothers,1954,1.0,nm0007225,"[""Milly""]",Jane Powell,1929
58029,tt0048171,Hit the Deck,1955,1.0,nm0007225,"[""Susan Smith""]",Jane Powell,1929
58030,tt0050438,The Girl Most Likely,1958,1.0,nm0007225,"[""Dodie""]",Jane Powell,1929
58190,tt0042327,Cheaper by the Dozen,1950,4.0,nm0528619,"[""Deborah Lancaster""]",Betty Lynn,1926
58282,tt0051097,Top Secret Affair,1957,2.0,nm0000018,"[""Maj. Gen. Melville A. Goodwin""]",Kirk Douglas,1916
58283,tt0057067,For Love or Money,1963,1.0,nm0000018,"[""Deke Gentry""]",Kirk Douglas,1916
58284,tt0066448,There Was a Crooked Man...,1970,1.0,nm0000018,"[""Paris Pitman, Jr.""]",Kirk Douglas,1916
58285,tt0079302,Home Movies,1979,3.0,nm0000018,"[""Dr. Tuttle 'The Maestro'""]",Kirk Douglas,1916
58286,tt0080097,The Villain,1979,1.0,nm0000018,"[""Cactus Jack""]",Kirk Douglas,1916
58287,tt0092105,Tough Guys,1986,2.0,nm0000018,"[""Archie Long""]",Kirk Douglas,1916
58288,tt0109936,Greedy,1994,2.0,nm0000018,"[""Uncle Joe""]",Kirk Douglas,1916
58289,tt0167423,Diamonds,1999,1.0,nm0000018,"[""Harry Agensky""]",Kirk Douglas,1916
58290,tt0311110,It Runs in the Family,2003,1.0,nm0000018,"[""Mitchell Gromberg""]",Kirk Douglas,1916
58322,tt0042524,The Great Rupert,1950,2.0,nm0601930,"[""Rosalinda Amendola""]",Terry Moore,1929
58323,tt0042548,He's a Cockeyed Wonder,1950,2.0,nm0601930,"[""Judy Sears""]",Terry Moore,1929
58324,tt0043319,The Barefoot Mailman,1951,3.0,nm0601930,"[""Adie Titus""]",Terry Moore,1929
58325,tt0044090,Sunny Side of the Street,1951,3.0,nm0601930,"[""Betty Holloway""]",Terry Moore,1929
58326,tt0050184,Bernardine,1957,2.0,nm0601930,"[""Jean Cantrick""]",Terry Moore,1929
58327,tt0096918,Beverly Hills Brats,1989,4.0,nm0601930,"[""Veronica""]",Terry Moore,1929
58334,tt0043030,Tea for Two,1950,1.0,nm0000013,"[""Nanette Carter""]",Doris Day,1922
58335,tt0043123,The West Point Story,1950,3.0,nm0000013,"[""Jan Wilson""]",Doris Day,1922
58336,tt0043669,I'll See You in My Dreams,1951,1.0,nm0000013,"[""Grace LeBoy Kahn""]",Doris Day,1922
58337,tt0043762,Lullaby of Broadway,1951,1.0,nm0000013,"[""Melinda Howard""]",Doris Day,1922
58338,tt0043880,On Moonlight Bay,1951,1.0,nm0000013,"[""Marjorie Winfield""]",Doris Day,1922
58339,tt0044370,April in Paris,1952,1.0,nm0000013,"[""Ethel S. 'Dynamite' Jackson""]",Doris Day,1922
58340,tt0045586,By the Light of the Silvery Moon,1953,1.0,nm0000013,"[""Marjorie Winfield""]",Doris Day,1922
58341,tt0045591,Calamity Jane,1953,1.0,nm0000013,"[""Calamity Jane""]",Doris Day,1922
58342,tt0047194,Lucky Me,1954,1.0,nm0000013,"[""Candy Williams""]",Doris Day,1922
58343,tt0050814,The Pajama Game,1957,1.0,nm0000013,"[""Babe Williams""]",Doris Day,1922
58344,tt0052278,Teacher's Pet,1958,2.0,nm0000013,"[""Erica Stone""]",Doris Day,1922
58345,tt0052325,The Tunnel of Love,1958,1.0,nm0000013,"[""Isolde Poole""]",Doris Day,1922
58346,tt0052933,It Happened to Jane,1959,1.0,nm0000013,"[""Jane Osgood""]",Doris Day,1922
58347,tt0053172,Pillow Talk,1959,2.0,nm0000013,"[""Jan Morrow""]",Doris Day,1922
58348,tt0054188,Please Don't Eat the Daisies,1960,1.0,nm0000013,"[""Kate Robinson Mackay""]",Doris Day,1922
58349,tt0055100,Lover Come Back,1961,2.0,nm0000013,"[""Carol Templeton""]",Doris Day,1922
58350,tt0055797,Billy Rose's Jumbo,1962,1.0,nm0000013,"[""Kitty Wonder""]",Doris Day,1922
58351,tt0056575,That Touch of Mink,1962,2.0,nm0000013,"[""Cathy Timberlake""]",Doris Day,1922
58352,tt0057329,"Move Over, Darling",1963,1.0,nm0000013,"[""Ellen Wagstaff Arden""]",Doris Day,1922
58353,tt0057581,The Thrill of It All,1963,1.0,nm0000013,"[""Beverly Boyer""]",Doris Day,1922
58354,tt0058571,Send Me No Flowers,1964,2.0,nm0000013,"[""Judy""]",Doris Day,1922
58355,tt0059112,Do Not Disturb,1965,1.0,nm0000013,"[""Janet Harper""]",Doris Day,1922
58356,tt0060463,The Glass Bottom Boat,1966,1.0,nm0000013,"[""Jennifer Nelson""]",Doris Day,1922
58357,tt0061380,The Ballad of Josie,1967,1.0,nm0000013,"[""Josie Minick""]",Doris Day,1922
58358,tt0061447,Caprice,1967,1.0,nm0000013,"[""Patricia Foster""]",Doris Day,1922
58359,tt0063801,Where Were You When the Lights Went Out?,1968,1.0,nm0000013,"[""Margaret Garrison""]",Doris Day,1922
58360,tt0063821,With Six You Get Eggroll,1968,1.0,nm0000013,"[""Abby McClure""]",Doris Day,1922
58411,tt0043044,Three Little Words,1950,4.0,nm0006428,"[""Eileen Percy""]",Arlene Dahl,1925
58412,tt0043120,Watch the Birdie,1950,2.0,nm0006428,"[""Lucia Corlane""]",Arlene Dahl,1925
58413,tt0045866,Here Come the Girls,1953,3.0,nm0006428,"[""Irene Bailey""]",Arlene Dahl,1925
58414,tt0058266,Kisses for My President,1964,3.0,nm0006428,"[""Doris Reid Weaver""]",Arlene Dahl,1925
58440,tt0043062,Trail of the Rustlers,1950,3.0,nm0412443,"[""Todd Hyland""]",Tommy Ivo,1936
58665,tt0042641,Kill the Umpire,1950,4.0,nm0377839,"[""Lucy Johnson""]",Gloria Henry,1923
58778,tt0043989,Sailor Beware,1952,4.0,nm0551031,"[""Hilda Jones""]",Marion Marshall,1929
58779,tt0045192,The Stooge,1951,4.0,nm0551031,"[""Genevieve 'Frecklehead' Tait""]",Marion Marshall,1929
59119,tt0042449,Father Is a Bachelor,1950,3.0,nm0766901,"[""May Chalotte""]",Mary Jane Saunders,1943
59166,tt0042732,Military Academy with That Tenth Avenue Gang,1950,3.0,nm0172321,"[""Mac""]",Gene Collins,1932
59167,tt0042732,Military Academy with That Tenth Avenue Gang,1950,4.0,nm0852766,"[""Specs""]",Leon Tyler,1932
59168,tt0042733,The Milkman,1950,3.0,nm0001453,"[""Chris Abbott""]",Piper Laurie,1932
59169,tt0043562,Francis Goes to the Races,1951,2.0,nm0001453,"[""Frances Travers""]",Piper Laurie,1932
59170,tt0043873,Has Anybody Seen My Gal,1952,1.0,nm0001453,"[""Millicent Blaisdell""]",Piper Laurie,1932
59171,tt0044970,No Room for the Groom,1952,2.0,nm0001453,"[""Lee Kingshead""]",Piper Laurie,1932
59172,tt0047135,Johnny Dark,1954,2.0,nm0001453,"[""Liz Fielding""]",Piper Laurie,1932
59173,tt0047804,Ain't Misbehavin',1955,2.0,nm0001453,"[""Sarah Bernhardt Hatfield""]",Piper Laurie,1932
59174,tt0050589,Kelly and Me,1957,2.0,nm0001453,"[""Mina Van Runkel""]",Piper Laurie,1932
59175,tt0120191,St. Patrick's Day,1997,1.0,nm0001453,"[""MaryPat Donnelly-McDonough""]",Piper Laurie,1932
59176,tt0042733,The Milkman,1950,4.0,nm0390215,"[""Ginger Burton""]",Joyce Holden,1930
59177,tt0044223,You Never Can Tell,1951,3.0,nm0390215,"[""Golden Harvest aka Goldie Harvey""]",Joyce Holden,1930
59183,tt0042739,Miss Italia,1950,1.0,nm0518178,"[""Lisetta Minneci""]",Gina Lollobrigida,1927
59184,tt0044602,Fanfan la Tulipe,1952,2.0,nm0518178,"[""Adeline La Franchise""]",Gina Lollobrigida,1927
59185,tt0054759,Come September,1961,2.0,nm0518178,"[""Lisa Helena Fellini""]",Gina Lollobrigida,1927
59186,tt0055787,La bellezza d'Ippolita,1962,1.0,nm0518178,"[""Ippolita""]",Gina Lollobrigida,1927
59187,tt0058621,Strange Bedfellows,1965,2.0,nm0518178,"[""Toni Vincente""]",Gina Lollobrigida,1927
59188,tt0062767,"Buona Sera, Mrs. Campbell",1968,1.0,nm0518178,"[""Carla Campbell""]",Gina Lollobrigida,1927
59217,tt0042753,Mr. Music,1950,2.0,nm0647970,"[""Katherine Holbrook""]",Nancy Olson,1928
59218,tt0054594,The Absent Minded Professor,1961,2.0,nm0647970,"[""Betsy Carlisle""]",Nancy Olson,1928
59219,tt0057518,Son of Flubber,1963,2.0,nm0647970,"[""Elizabeth 'Betsy' Brainard""]",Nancy Olson,1928
59220,tt0069291,Snowball Express,1972,2.0,nm0647970,"[""Sue Baxter""]",Nancy Olson,1928
59323,tt0043286,Angels in the Outfield,1951,4.0,nm2076146,"[""Bridget White""]",Donna Corcoran,1942
59401,tt0043506,"Era lui, sì, sì!",1951,2.0,nm0059549,"[""Grazia""]",Isa Barzizza,1929
59440,tt0043534,Finders Keepers,1951,2.0,nm0011105,"[""Sue Kipps""]",Julie Adams,1926
59441,tt0046995,Francis Joins the WACS,1954,2.0,nm0011105,"[""Capt. Jane Parker""]",Julie Adams,1926
59442,tt0048513,The Private War of Major Benson,1955,2.0,nm0011105,"[""Dr. Kay Lambert""]",Julie Adams,1926
59443,tt0050983,Slim Carter,1957,2.0,nm0011105,"[""Clover Doyle""]",Julie Adams,1926
59444,tt0056585,Tickle Me,1965,2.0,nm0011105,"[""Vera Radford""]",Julie Adams,1926
59445,tt0077623,"Goodbye, Franklin High",1978,2.0,nm0011105,"[""Janice Armer""]",Julie Adams,1926
59447,tt0043534,Finders Keepers,1951,4.0,nm0377121,"[""Tiger Kipps Jr.""]",Dusty Henley,1948
59551,tt0043720,The Lady Pays Off,1951,3.0,nm0674540,"[""Diana Braddock""]",Gigi Perreau,1941
59552,tt0043873,Has Anybody Seen My Gal,1952,4.0,nm0674540,"[""Roberta Blaisdell""]",Gigi Perreau,1941
59553,tt0043965,Reunion in Reno,1951,3.0,nm0674540,"[""Margaret 'Maggie' Angeline Linaker""]",Gigi Perreau,1941
59554,tt0044199,Week-End with Father,1951,3.0,nm0674540,"[""Anne Stubbs""]",Gigi Perreau,1941
59555,tt0044436,Bonzo Goes to College,1952,4.0,nm0674540,"[""Betsy Drew""]",Gigi Perreau,1941
59556,tt0049120,"Dance with Me, Henry",1956,3.0,nm0674540,"[""Shelley""]",Gigi Perreau,1941
59557,tt6674846,Crash: The Animated Movie,2017,4.0,nm0674540,"[""Grandma Swift""]",Gigi Perreau,1941
59717,tt0043965,Reunion in Reno,1951,2.0,nm0235627,"[""Laura Carson""]",Peggy Dow,1928
59718,tt0044223,You Never Can Tell,1951,2.0,nm0235627,"[""Ellen Hathaway""]",Peggy Dow,1928
59890,tt0044410,Belles on Their Toes,1952,3.0,nm0656428,"[""Martha Gilbreth""]",Debra Paget,1933
59891,tt0045187,Stars and Stripes Forever,1952,3.0,nm0656428,"[""Lily Becker""]",Debra Paget,1933
59896,tt0044431,Bloodhounds of Broadway,1952,1.0,nm0310989,"[""Emily Ann Stackerlee""]",Mitzi Gaynor,1931
59897,tt0045702,Down Among the Sheltering Palms,1953,3.0,nm0310989,"[""Rozouila""]",Mitzi Gaynor,1931
59898,tt0049011,The Birds and the Bees,1956,2.0,nm0310989,"[""Jean Harris""]",Mitzi Gaynor,1931
59899,tt0050631,Les Girls,1957,2.0,nm0310989,"[""Joanne 'Joy' Henderson""]",Mitzi Gaynor,1931
59900,tt0052878,Happy Anniversary,1959,2.0,nm0310989,"[""Alice Walters nee Gans""]",Mitzi Gaynor,1931
59901,tt0057067,For Love or Money,1963,2.0,nm0310989,"[""Kate Brasher""]",Mitzi Gaynor,1931
59909,tt0044472,Canzoni di mezzo secolo,1952,1.0,nm0895844,\N,Marco Vicario,1925
59933,tt0044503,The Clown,1953,3.0,nm0175919,"[""Dink Delwyn""]",Tim Considine,1940
59939,tt0044506,Colorado Sundown,1952,3.0,nm0443135,"[""Jackie Reynolds""]",Mary Ellen Kay,1929
59978,tt0044608,Fearless Fagan,1952,2.0,nm0139292,"[""Pvt. Floyd Hilston - Company J""]",Carleton Carpenter,1926
59979,tt0045156,Sky Full of Moon,1952,1.0,nm0139292,"[""Harley 'Tumbleweeds' Williams""]",Carleton Carpenter,1926
59989,tt0044633,Francis Goes to West Point,1952,2.0,nm0625562,"[""Barbara Atwood""]",Lori Nelson,1933
59990,tt0044862,Ma and Pa Kettle at the Fair,1952,4.0,nm0625562,"[""Rosie Kettle""]",Lori Nelson,1933
59991,tt0046531,Walking My Baby Back Home,1953,4.0,nm0625562,"[""Claire Millard""]",Lori Nelson,1933
59992,tt0048328,Ma and Pa Kettle at Waikiki,1953,3.0,nm0625562,"[""Rosie Kettle""]",Lori Nelson,1933
59993,tt0049593,Pardners,1956,3.0,nm0625562,"[""Carol Kingsley""]",Lori Nelson,1933
60000,tt0044647,Die Försterchristl,1952,1.0,nm0560682,"[""Försterchristl""]",Johanna Matz,1932
60001,tt0298390,Die Jungfrau auf dem Dach,1953,3.0,nm0560682,"[""Patty O'Neill""]",Johanna Matz,1932
60050,tt0044758,It Grows on Trees,1952,3.0,nm0262896,"[""Diane Baxter""]",Joan Evans,1934
60051,tt0045155,Skirts Ahoy!,1952,2.0,nm0262896,"[""Mary Kate Yarbrough""]",Joan Evans,1934
60068,tt0044781,Just This Once,1952,4.0,nm0259856,"[""Gertrude Crome""]",Marilyn Erskine,1926
60069,tt0046329,A Slight Case of Larceny,1953,4.0,nm0259856,"[""Mrs. Emily Clopp""]",Marilyn Erskine,1926
60109,tt0044855,Lovely to Look At,1952,4.0,nm0150718,"[""Clarisse""]",Marge Champion,1919
60110,tt0045822,Give a Girl a Break,1953,1.0,nm0150718,"[""Madelyn Corlane""]",Marge Champion,1919
60111,tt0048239,Jupiter's Darling,1955,3.0,nm0150718,"[""Meta""]",Marge Champion,1919
60157,tt0066495,The Twelve Chairs,1970,1.0,nm0000316,"[""Tikon""]",Mel Brooks,1926
60162,tt0075222,Silent Movie,1976,1.0,nm0000316,"[""Mel Funn""]",Mel Brooks,1926
60163,tt0076141,High Anxiety,1977,1.0,nm0000316,"[""Richard H. Thorndyke""]",Mel Brooks,1926
60165,tt0082517,History of the World: Part I,1981,1.0,nm0000316,"[""Moses"",""Comicus"",""Torquemada""]",Mel Brooks,1926
60166,tt0086450,To Be or Not to Be,1983,1.0,nm0000316,"[""Dr. Frederick Bronski""]",Mel Brooks,1926
60167,tt0094012,Spaceballs,1987,1.0,nm0000316,"[""President Skroob"",""Yogurt""]",Mel Brooks,1926
60170,tt0358082,Robots,2005,3.0,nm0000316,"[""Bigweld""]",Mel Brooks,1926
60173,tt4428398,Blazing Samurai,2021,4.0,nm0000316,"[""Shogun""]",Mel Brooks,1926
60241,tt0045104,The Rose Bowl Story,1952,2.0,nm0587256,"[""Denny Burke""]",Vera Miles,1929
60242,tt0062298,The Spirit Is Willing,1967,2.0,nm0587256,"[""Kate Powell""]",Vera Miles,1929
60243,tt0067985,The Wild Country,1970,2.0,nm0587256,"[""Kate Tanner""]",Vera Miles,1929
60244,tt0070481,One Little Indian,1973,2.0,nm0587256,"[""Doris McIver""]",Vera Miles,1929
60245,tt0071288,The Castaway Cowboy,1974,2.0,nm0587256,"[""Henrietta MacAvoy""]",Vera Miles,1929
60353,tt0045187,Stars and Stripes Forever,1952,2.0,nm0001822,"[""Willie Little""]",Robert Wagner,1930
60354,tt0053245,Say One for Me,1959,3.0,nm0001822,"[""Tony Vincent""]",Robert Wagner,1930
60355,tt0055394,Sail a Crooked Ship,1961,1.0,nm0001822,"[""Gilbert Barrows""]",Robert Wagner,1930
60356,tt0057413,The Pink Panther,1963,3.0,nm0001822,"[""George Lytton""]",Robert Wagner,1930
60357,tt0062731,The Biggest Bundle of Them All,1968,3.0,nm0001822,"[""Harry Price""]",Robert Wagner,1930
60358,tt0062901,Don't Just Stand There,1968,1.0,nm0001822,"[""Lawrence Colby""]",Robert Wagner,1930
60359,tt0145660,Austin Powers: The Spy Who Shagged Me,1999,4.0,nm0001822,"[""Number Two""]",Robert Wagner,1930
60360,tt0285252,Life's a Beach,2012,4.0,nm0001822,"[""Tom Wald""]",Robert Wagner,1930
60361,tt0489225,Man in the Chair,2007,4.0,nm0001822,"[""Taylor Moss""]",Robert Wagner,1930
60367,tt0045193,"Stop, You're Killing Me",1952,4.0,nm0370905,"[""Chancellor 'Chance' Whitelaw""]",Bill Hayes,1925
60415,tt0045477,Affair with a Stranger,1953,3.0,nm0235158,"[""Dolly Murray""]",Linda Douglas,1928
60468,tt0045706,Dream Wife,1953,4.0,nm0820615,"[""Tarji""]",Betta St. John,1929
60482,tt0045815,The Girl Next Door,1953,4.0,nm0336474,"[""Joe Carter""]",Billy Gray,1938
60495,tt0045837,The Great Diamond Robbery,1954,2.0,nm0930209,"[""Maggie Drumman""]",Cara Williams,1925
60496,tt0053109,Never Steal Anything Small,1959,4.0,nm0930209,"[""Winnipeg Simmons""]",Cara Williams,1925
60497,tt0057284,The Man from the Diners' Club,1963,2.0,nm0930209,"[""Sugar Pye""]",Cara Williams,1925
60498,tt0045853,Hadaka no taishô,1958,10.0,nm0031884,"[""Girl in Restaurant""]",Kyôko Aoyama,1935
60501,tt0045853,Hadaka no taishô,1958,3.0,nm0620390,"[""Girl at Lunch Shop""]",Yasuko Nakada,1933
60574,tt0046013,The Love Lottery,1954,3.0,nm0894636,"[""Jane""]",Anne Vernon,1924
60590,tt0046048,Marry Me Again,1953,4.0,nm0182250,"[""Joan""]",Mary Costa,1930
60593,tt0046087,Money from Home,1953,4.0,nm0189774,"[""Dr. Autumn Claypool""]",Pat Crowley,1933
60594,tt0049322,Hollywood or Bust,1956,3.0,nm0189774,"[""Terry Roberts""]",Pat Crowley,1933
